function,index,x0,x1,x2,x3,x4,x5,x6,x7,y0
function_6,0,0.7281861047460138,0.1546925696237983,0.7325516687239811,0.6939965090690888,0.0564013105182585,,,,-0.7142649478202404
function_6,1,0.2423843472379075,0.8440999723462298,0.5778090988182423,0.6790212842838805,0.5019528879463457,,,,-1.209955244676482
function_6,2,0.7295226100931684,0.7481062003003915,0.6797746408949024,0.3565522793389573,0.6710536834597941,,,,-1.6721999396105658
function_6,3,0.770620241725545,0.1144037441632277,0.0467799318531783,0.6483242845395736,0.2735490526883131,,,,-1.536057708569483
function_6,4,0.6188122987341569,0.3318021371842082,0.1872878677739272,0.756238474019041,0.3288347983365967,,,,-0.8292365522578722
function_6,5,0.7849580941321159,0.9106823491056888,0.7081201035127033,0.9592254289504146,0.0049114958644046,,,,-1.2470489267904978
function_6,6,0.1451107857376627,0.8966845977360148,0.8963222346125226,0.7262715366744776,0.2362719909120932,,,,-1.2337863805718483
function_6,7,0.9450690681186656,0.2884590505951757,0.9788057635601995,0.9616555869902994,0.5980159363909763,,,,-1.6943434420704928
function_6,8,0.1257201550301987,0.8627246921598651,0.0285443322310597,0.2466052719305281,0.7512062409044311,,,,-2.5711696316081234
function_6,9,0.7575943553544202,0.35583141491553,0.0165228996855636,0.4342072049866272,0.1124330443582503,,,,-1.309116352823696
function_6,10,0.5367969034860786,0.3087809072394932,0.4118792850649223,0.388225176718074,0.5225283039122706,,,,-1.1447848512705794
function_6,11,0.9577396688833608,0.2356685723247081,0.0991458495572222,0.1568059338564619,0.0713173731062111,,,,-1.9126771431925136
function_6,12,0.6293078953337721,0.803483678101385,0.8114084389735914,0.0456131857794496,0.1106244619896795,,,,-1.622838951777173
function_6,13,0.0217353076637963,0.4280842403190724,0.8359394371193622,0.4894886594464341,0.511081734720247,,,,-1.356682109382341
function_6,14,0.4393442638884286,0.6989238329035616,0.4268202222118266,0.1094760850521969,0.8778884681100685,,,,-2.018425399374782
function_6,15,0.2589055738489062,0.7936777082611537,0.6421139049230902,0.1966734640138457,0.593103176750458,,,,-1.7025578405650037
function_6,16,0.4321659328846983,0.7156178127534056,0.3418191030223866,0.7049998807959096,0.6149618447218453,,,,-1.2942469649550403
function_6,17,0.7828798232609253,0.5363358585071114,0.4432835567472584,0.8596998258165416,0.0103259906755278,,,,-0.9357565553342914
function_6,18,0.9217761980413874,0.9318712161635004,0.4148763697645736,0.5950572655783101,0.7356256864317131,,,,-2.1557677641786004
function_6,19,0.1266789170613756,0.2914703014984706,0.0645284766706916,0.6805146028541535,0.892819191058788,,,,-1.7468820870493065
function_6,20,0.967526,0.029638,0.848272,0.737615,0.039431,,,,-1.2083543192469623
function_6,21,0.05454,0.911209,0.032978,0.699242,0.039865,,,,-1.6105011420976976
function_6,22,0.557384,0.355367,0.540524,0.715106,0.177871,,,,-0.3616950079144178
function_6,23,0.429103,0.349559,0.583952,0.835409,0.167893,,,,-0.162952839428347
function_6,24,0.856506,0.885315,0.029432,0.004568,0.876024,,,,-3.1724783668304655
function_6,25,0.049631,0.962274,0.033833,0.047159,0.756032,,,,-3.0417849396871848
function_6,26,0.976898,0.003327,0.037008,0.050008,0.849865,,,,-3.030097488776178
function_6,27,0.899172,0.861979,0.007778,0.155002,0.702744,,,,-2.8382194537127248
function_6,28,0.972981,0.361756,0.012917,0.002068,0.939636,,,,-2.843287574391808
function_6,29,0.42978,0.406923,0.730873,0.853184,0.170766,,,,-0.3568542232629185
function_6,30,0.406691,0.358955,0.544259,0.790415,0.140897,,,,-0.2553871305649321
function_6,31,0.465348,0.395642,0.588016,0.876307,0.128649,,,,-0.2067609091842279
