function,index,x0,x1,x2,x3,x4,x5,x6,x7,y0
function_4,0,0.8969810543559719,0.7256279703482243,0.1754043089024115,0.7016943693717497,,,,,-22.108287785435817
function_4,1,0.8893563957199797,0.499587855376965,0.5392688577643431,0.5087834390633533,,,,,-14.60139663195316
function_4,2,0.2509462427523342,0.0336931305473535,0.1453800247355214,0.4949324205649785,,,,,-11.699932463834426
function_4,3,0.3469620609143241,0.0062504002449178,0.7605636064368956,0.6130235572343078,,,,,-16.053765110568296
function_4,4,0.1248711812207095,0.1297701930651067,0.3844004830013033,0.2870761010606127,,,,,-10.069633426012889
function_4,5,0.8013027073487429,0.5002310937156627,0.7066445599562093,0.1951028410119162,,,,,-15.487082537755288
function_4,6,0.2477082618994807,0.0604454273219897,0.0421863451371977,0.4413242505440315,,,,,-12.68168497681565
function_4,7,0.7467022420948025,0.7570915044306501,0.3693530595537917,0.2065662810376639,,,,,-16.02639976898352
function_4,8,0.400665027194423,0.0725742510712733,0.8867682538447798,0.2438422897892271,,,,,-17.049234647535723
function_4,9,0.6260705961944015,0.5867512592598441,0.4388057821707446,0.7788576937904925,,,,,-12.741765988316184
function_4,10,0.9571352930644365,0.5976443830130996,0.7661138515714809,0.7762099053238541,,,,,-27.316396356142608
function_4,11,0.7328124260168783,0.145249978973588,0.4768127176311528,0.1333657340458458,,,,,-13.527648872277506
function_4,12,0.6551154792459779,0.0723918269048232,0.6871517458198465,0.0815165641903301,,,,,-16.679115197479913
function_4,13,0.2197344291591429,0.8320313351480582,0.4828641624528299,0.0825692305752445,,,,,-16.50715856428234
function_4,14,0.4885941895035663,0.2119650955674609,0.9391779073552308,0.3761917259037199,,,,,-17.81799933882949
function_4,15,0.1671304855605877,0.8765545582566224,0.2172395449669286,0.9598009845510594,,,,,-26.5618208297796
function_4,16,0.2169111881125571,0.1660858289789893,0.2413722563908359,0.7700624756956358,,,,,-12.75832421678174
function_4,17,0.3874878367172539,0.8045322581845359,0.7517954827501873,0.7238274385488449,,,,,-19.44155762445172
function_4,18,0.9856218929694016,0.6669326785131365,0.1567832825295876,0.8565348006982442,,,,,-28.90327367383377
function_4,19,0.037824828533346,0.6648533464557935,0.1619821750221554,0.2539237802262948,,,,,-13.702746938161251
function_4,20,0.6834863848727072,0.902770103081478,0.3354198256002018,0.9994825612275692,,,,,-29.427091401989347
function_4,21,0.1703473054043091,0.7569590826298485,0.2765204860603998,0.5312314975365982,,,,,-11.565741989583191
function_4,22,0.8596569193380881,0.9195923219593924,0.2061387278543615,0.0977968310045225,,,,,-26.857786437773637
function_4,23,0.2821383681927751,0.5059869120612994,0.5305308425014074,0.0963016230177533,,,,,-7.966775351030392
function_4,24,0.3260757847990565,0.4723669036587071,0.4531919956012958,0.1058873384302587,,,,,-6.702089254839066
function_4,25,0.9483893624466844,0.8945130079782345,0.8516378174441099,0.5521962863978067,,,,,-32.625660215962455
function_4,26,0.6649553897315406,0.0465662767446496,0.1167774693876801,0.7937177796214518,,,,,-19.98949792679556
function_4,27,0.5777656143780968,0.4287717415443063,0.4258258674882194,0.2490074146619113,,,,,-4.025542281908162
function_4,28,0.7386130139763387,0.4821026343612022,0.7093664425017454,0.503970013890856,,,,,-13.122782331852594
function_4,29,0.854810796763389,0.4939646196379057,0.7353099749980351,0.808092012668331,,,,,-23.139428397634813
function_4,30,0.369891,0.381036,0.359893,0.417414,,,,,0.6086279006862196
function_4,31,0.423608,0.417909,0.223422,0.447703,,,,,-2.4444540437505284
function_4,32,0.382702,0.422082,0.426552,0.434995,,,,,0.4672164717337428
function_4,33,0.386582,0.400739,0.420972,0.431757,,,,,0.4453641737141685
function_4,34,0.351138,0.426527,0.4816,0.438628,,,,,-0.7369478750144505
function_4,35,0.354098,0.418539,0.372653,0.466721,,,,,-0.3967465486890513
function_4,36,0.438755,0.436083,0.374896,0.422766,,,,,0.3085177626892528
function_4,37,0.393712,0.379306,0.391271,0.374477,,,,,0.050489876854368
function_4,38,0.385075,0.420803,0.382508,0.392805,,,,,0.2268357254439021
function_4,39,0.387328,0.414843,0.392832,0.426546,,,,,0.4365242633516897
function_4,40,0.369349,0.380843,0.391537,0.410502,,,,,0.3384461770970302
function_4,41,0.418031,0.410481,0.406548,0.416485,,,,,0.7013049970924787
function_4,42,0.393422,0.401939,0.399166,0.425563,,,,,0.3572874911694268
