function,index,x0,x1,x2,x3,x4,x5,x6,x7,y0
function_3,0,0.1715252068810621,0.3439168702758373,0.2487372010692387,,,,,,-0.1121222004625689
function_3,1,0.2421144606124933,0.6440742697791076,0.2724328091994552,,,,,,-0.0879628602273644
function_3,2,0.5349057202251034,0.3985009153676316,0.1733887289456772,,,,,,-0.111414654295324
function_3,3,0.4925814146371343,0.6115931882759961,0.3401763860035727,,,,,,-0.0348353133500785
function_3,4,0.1346216663206111,0.2199172404897456,0.458206219649227,,,,,,-0.0480075843921815
function_3,5,0.3455232705197697,0.9413598305723256,0.2693634790694064,,,,,,-0.1106209130728265
function_3,6,0.151836632374168,0.4399906189664437,0.990881866558951,,,,,,-0.3989255131463011
function_3,7,0.6455028351793182,0.3971429395797703,0.9197713377032198,,,,,,-0.1138685147886399
function_3,8,0.7469119451655177,0.2841963092257342,0.2262998548875254,,,,,,-0.1314606086413605
function_3,9,0.1704769939696806,0.697032400686134,0.1491694337083002,,,,,,-0.0941895609105739
function_3,10,0.2205493370831766,0.2978252442230862,0.3435553444167258,,,,,,-0.0469474058265191
function_3,11,0.6660136587669346,0.6719851513369297,0.2462952966705313,,,,,,-0.1059650357355817
function_3,12,0.0468089497224973,0.2313602407834674,0.7706175921643,,,,,,-0.1180482564468869
function_3,13,0.6000972824185008,0.7251357252228826,0.0660886414953486,,,,,,-0.0363778280716324
function_3,14,0.9659948489488088,0.8611196897300882,0.5668291312870885,,,,,,-0.0567583715539764
function_3,15,0.380745,0.021581,0.000361,,,,,,-0.188188234146839
function_3,16,0.882208,0.998391,0.40722,,,,,,-0.0496405508913505
function_3,17,0.480298,0.491555,0.475934,,,,,,-0.0042843822939058
function_3,18,0.62242,0.406443,0.43303,,,,,,-0.0067124464035396
function_3,19,0.904687,0.68971,0.995498,,,,,,-0.4188337658686196
function_3,20,0.861113,0.475295,0.997089,,,,,,-0.4203313809444929
function_3,21,0.323949,0.769693,0.999217,,,,,,-0.4358703339319123
function_3,22,0.003067,0.99527,0.997869,,,,,,-0.4741838512382761
function_3,23,0.965899,0.009053,0.807356,,,,,,-0.1289952723101642
function_3,24,0.394038,0.539333,0.459925,,,,,,-0.0077618153512636
function_3,25,0.507411,0.625199,0.446643,,,,,,-0.0095663474825385
function_3,26,0.48583,0.507406,0.473061,,,,,,-0.0221276339834178
function_3,27,0.391058,0.458474,0.448532,,,,,,-0.003252879617344097
